क्र ,पुस्तकाचे नाव ,लेखक ,किंमत ,सवलतीत 
289,भारतातील गरिबी,नीलकंथ रथ,200,150
290,आनंदीबाई रघुनाथराव,नीला नातू,४८०,३१२
291,लक्ष्मी,नीला नातू,२६०,१६९
292,तुमचे-आमचे सुपरहिरो-विक्रम गायकवाड,नीलिमा बोरवणकर,99,74
293,तुमचे-आमचे सुपरहिरो-जे.के. रोलिंग,पूनम छत्रे,120,90
294,काजवा,पोपट काळे,350,263
295,गुणीसोबत शिकूया -भाग १ ते ५,प्रज्ञा वझे,७००,४५५
296,अडीच अक्षरांची गोष्ट,प्रदीप आवटे,199,149
297,इसापनीती,प्रभू गोखले,180,135
298,इसापनीती भाग-१,प्रभू गोखले,80,60
299,इसापनीती भाग-२,प्रभू गोखले,80,60
300,इसापनीती भाग-३,प्रभू गोखले,80,60
301,इसापनीती भाग-४,प्रभू गोखले,80,60
302,पंचतंत्र,प्रभू गोखले,70,53
303,पंचतंत्र भाग - १,प्रभू गोखले,90,68
304,पंचतंत्र भाग - २,प्रभू गोखले,90,68
305,पंचतंत्र भाग - ३,प्रभू गोखले,90,68
306,समास,प्रमोद मुनघाटे,350,263
307,एक पत्र आईच,प्रवीण दवणे,२३०,१५०
308,कवितेतल्या शान्ताबाई,प्रवीण दवणे,३२०,२०८
309,पंखभरारी,प्रवीण दवणे,२५०,१६३
310,पुस्तकांचं झाड,प्रवीण दवणे,१७०,१११
311,भ... भ.. भुताचा !,प्रवीण दवणे,१२०,७८
312,वाट पाहणारी गंमत गोष्ट,प्रवीण दवणे,२१०,१३७
313,शाळाई,प्रवीण दवणे,१५०,९८
314,शॉर्टकट,प्रसाद नामजोशी,390,293
315,झाडं लावणारे पक्षी,प्रसाद मणेरीकर,90,68
316,रानातले पाहुणे,प्रसाद मणेरीकर,90,68
317,ससुल्या,प्रसाद मणेरीकर,90,68
318,आकाश कोडी,प्रा. देवबा पाटील,१३०,८५
319,नभाची कोडी,प्रा. देवबा पाटील,१२०,७८
320,धुळाक्षरे इतिहासाची १ - देशाची फाळणी,प्राची देशपांडे,130,98
321,धुळाक्षरे इतिहासाची २ -देशाचे लोक,प्राची देशपांडे,130,98
322,धुळाक्षरे इतिहासाची ३ - देशाच्या भाषा,प्राची देशपांडे,130,98
323,बंटीची बहाद्दूरी,प्रीती वडनेरकर,२००,१३०
324,सुट्टीतल्या गोष्टी,प्रीती वडनेरकर,२००,१३०
325,समशेर आणि परग्रहावरचा माणूस,भारत ससाणे,125,94
326,समशेर आणि भूतबंग्ला,भारत ससाणे,150,113
327,समशेर आणि लांब मिशीवाल्या माणसाचं रहस्य,भारत ससाणे,125,94
328,पंचतंत्र आणि लिडरशीप,भालचंद्र साठे,240,180
329,आपली संसद,भालबा विभूते,130,98
330,आपल्या निवडणुका,भालबा विभूते,190,143
331,नागरिकांच्या अधिकारांची आणि कर्तव्यांची सनद,भालबा विभूते,150,113
332,भारताची शासनपद्धती,भालबा विभूते,160,120
333,अरुणोदय,भावेश ब्राह्मणकर,४००,२६०
334,प्रदूषण संच (भाग १ ते ४),भुस्कुटे/रमेश सहस्त्रबुद्धे,१६०,१०४
335,आधुनिक भस्मासुर,मंदार गद्रे,२७०,१७६
336,ऑब्सेशन ,मकरंद सापटणेकर,२८०,१८२
